bug_id,title,api_candidates,has_reproduction_code,failure_type,pattern_extractability,include,reason
7559,Wrong results for zero-length slices,torch.Tensor,Yes,"Exception,Incorrect Output",,,
7947,EmbeddingBag max_norm parameter does not work,"torch.embedding_bag,torch.no_grad,torch.embedding_renorm_",Yes,,,,
55027,CUDA error_ device-side assert triggered(torch1.8.1+cuda11.1),"torch.cat,torch.device,torch.float32,torch.as_tensor,torch.rand,torch.int64,torch.cuda.amp.autocast,torch.where,torch.cuda.is_available",Yes,Exception,,,
23642,Performance Regression of Dataloader,"torch.randn,torch.utils.data",Yes,,,,
61345,"void onnxruntime__BroadcastIterator__Init(ptrdiff_t, ptrdiff_t) axis == 1 __ axis == largest was false. Attempting to broadcast an axis by a dimension other than 1. 3 by 224","torch.nn.Module,torch.onnx.export,torch.randn",Yes,Exception,,,
53368,Undocumented change of behavior for Embeddings in PyTorch 1.8,"torch.nn.Embedding.html,torch.ones,torch.tensor,torch.org,torch.nn,torch.nn.Embedding",Yes,,,,
47090,`torch.max` does not create a named tuple if applied to a subclass,"torch.tensor,torch.Tensor,torch.max",Yes,,,,
27074,`tensor.align_to` error message is wrong,"torch.align_to,torch.randn",Yes,"Exception,Incorrect Output",,,
37403,torch.multinomial behaves abnormally with CUDA tensor,"torch.multinomial,torch.tensor",Yes,,,,
7882,[Pytorch] DataLoader and python random module,"torch.rand,torch.manual_seed,torch.utils.data",Yes,,,,
28623,argmax for half datatype.,"torch.__version__,torch.randn,torch.float16",Yes,Exception,,,
37680,"We should not mark non-floating point Tensors as requirering gradients, ever","torch.rand,torch.argmax",Yes,,,,
60417,[FX] getattr default not respected after symbolic_trace,"torch.Size,torch.fx,torch.rand,torch.nn,torch.Tensor",Yes,Incorrect Output,,,
34191,Topk backward twice (the second input is NAN) to trigger cuda assert.,"torch.topk,torch.ones,torch.full",Yes,,,,
65696,`_object_to_tensor` is much slower for large objects since 1.9,"torch.distributed.all_gather_object,torch.tensor,torch.uint8,torch.distributed.distributed_c10d,torch.ByteStorage.from_buffer,torch.ByteTensor",Yes,,,,
37844,Circular padding in Conv2d applies padding across the wrong dimension (regression from 1.4),"torch.zeros,torch.Size",Yes,Incorrect Output,,,
7332,Error msg with conv2D in pytorch 0.4,,Yes,Exception,,,
51206,nn.function.interpolate with bi_trilinear or bicubic is VERY slow when using AMP,"torch.cuda.empty_cache,torch.square,torch.optim,torch.rand,torch.nn,torch.cuda.amp",Yes,,,,
8626,as_strided_backward in expanded case & dynamically created grad_fn for views,"torch.zeros,torch.randn,torch.autograd.grad",Yes,,,,
41115,All cpu allocations after calling _make_per_tensor_quantized_tensor on a cuda tensor are in pinned memory,"torch.randn,torch.int,torch._make_per_tensor_quantized_tensor,torch.randint",Yes,,,,
7763,Einsum modifies variables in-place,"torch.randn,torch.einsum",Yes,Exception,,,
7639,the problem of torch.index() function in pytorch-0.4.0,"torch.FloatTensor,torch.index",Yes,Incorrect Output,,,
38605,clip_grad_norm_ fails when parameters are on different devices (1.5 regression),"torch.__version__,torch.nn.utils.clip_grad_norm_,torch.utils.collect_env,torch.nn.Linear,torch.norm,torch.stack,torch.nn,torch.nn.Module,torch.randn",Yes,"Crash,Exception",,,
37930,convert_sync_batchnorm should respect device affinity,"torch.nn.SyncBatchNorm.convert_sync_batchnorm,torch.nn.Sequential,torch.nn.Linear,torch.nn.BatchNorm1d",Yes,,,,
8693,torch.nn.functional.grid_sample should throw error for invalid mode,torch.nn.functional.grid_sample,Yes,,,,
47358,"[complex] torch.{sqrt, abs}_ does not match numpy","torch.__version__,torch.cdouble,torch.tensor,torch.cfloat,torch.complex128",Yes,,,,
7178,Should torch.load and torch.save take a device (since PyTorch 0.4),"torch.device,torch.load,torch.org,torch.save,torch.cuda.is_available",Yes,,,,
65709,Difference in `torch.normal` between pytorch 1.8.1 and pytorch 1.9.0,"torch.empty,torch.normal,torch.rand",Yes,Exception,,,
7868,[PyTorch] [ONNX] Peephole optimizer transpose fusion broken,"torch.nn.Module,torch.onnx.export,torch.rand",Yes,Incorrect Output,,,
23580,Speed Regression in torch.qr,"torch.randn,torch.qr",Yes,,,,
7849,"_RuntimeError_ Expected tensor to have CUDA Backend, but got tensor with CUDA Backend_","torch.where,torch.zeros,torch.tensor,torch.uint8",Yes,Exception,,,
46242,Assigning a parameter to an indexed tensor that was produced by DDP no longer works in torch nightly (1.7),"torch.randn,torch.nn.Parameter,torch.cuda.synchronize,torch.multiprocessing,torch.zeros,torch.nn.Module,torch.nn.Linear,torch.nn.parallel,torch.distributed",Yes,Exception,,,
28010,Bad value assignment using list indices when type-promoting,"torch.float64,torch.double,torch.rand,torch.ones",Yes,Incorrect Output,,,
31108,test_int_pow_cuda failed on Windows,"torch._tensor_str._str,torch.int32,torch.tensor,torch.int64,torch.int16,torch.int8",Yes,Exception,,,
47054,max_pool1d crashes (segfault),"torch.rand,torch.nn",Yes,Crash,,,
31271,Performance regression in CPU copy kernel since 1.3.1,"torch.empty,torch.uint8,torch.set_num_threads,torch.float",Yes,,,,
7650,Errors exporting model from PyTorch to Caffe2,"torch.sum,torch.onnx.export,torch.rand,torch.nn",Yes,Incorrect Output,,,
48674,`torch.jit.script` is often broken in Python-3.9,"torch.jit.frontend.NotSupportedError,torch.rand,torch.Tensor,torch.jit.script",Yes,,,,
66086,Backwards compatibility is broken between 1.9.1 and nightly for `torch.cosine_similarity`,"torch.cosine_similarity,torch.org,torch.ones",Yes,Exception,,,
58545,torch.randperm given GPU random generator raise error,"torch.randint,torch.randperm,torch.cuda.FloatTensor,torch.set_default_tensor_type,torch.Generator",Yes,Exception,,,
45721,kthvalue incorrect with strided GPU tensor,"torch.tensor,torch.return_types.kthvalue",Yes,Incorrect Output,,,
7568,[Bug report] error when using weight_norm and DataParallel at the same time.,"torch.nn.utils,torch.rand,torch.device",Yes,,,,
8111,[Bug] Weird bug when using ATen __rshift__() on cuda tensors,"torch.utils.cpp_extension,torch.h,torch.Tensor",Yes,,,,
61754,[ONNX] Invalid ONNX graph when exporting prim__Constant of empty tensor data,"torch.onnx,torch.tensor,torch.onnx._export,torch.onnx.export,torch.zeros,torch.scalar_tensor,torch.nn.Module",Yes,,,,
60179,torch.onnx.export deals incorrectly with padding dimensions for F.pad,"torch.manual_seed,torch.rand,torch.tensor,torch.reshape,torch.onnx.export,torch.nn.functional,torch.transpose,torch.ceil",Yes,"Exception,Incorrect Output",,,
18215,CTCLoss with empty target doesn't work well,"torch.nn.functional.ctc_loss,torch.tensor,torch.autograd.gradcheck,torch.autograd.grad,torch.double,torch.randn",Yes,,,,
8077,[Bug] Parameters turn into Tensors after load,"torch.nn.Parameter,torch.load,torch.save,torch.nn.parameter.Parameter,torch.nn.Module,torch.Tensor",Yes,,,,
8508,Crash with SIGFPE due to unhandled cases in distributions.MultivariateNormal,"torch.distributions.MultivariateNormal,torch.tensor,torch.eye,torch.distributions.MultivariateNormal.__init__",Yes,"Crash,Exception",,,
7961,[Bug report] RuntimeError_ backward_input can only be called in training mode,torch.autograd.backward,Yes,Exception,,,
65808,Closing tar file in `TarFileReader` breaks buffered datapipes,torch.utils.data.datapipes.iter,Yes,Exception,,,
61291,mm doesn't correctly check shape of GPU inputs,"torch.set_default_tensor_type,torch.zeros,torch.cuda.DoubleTensor,torch.cuda.DoubleTenosr,torch.nn.Linear",Yes,Incorrect Output,,,
47007,RuntimeError_ _mul_cuda_ not implemented for 'Bool',,Yes,Exception,,,
61755,HTTP Error 403 for torch.hub ResNet,"torch.org,torch.hub,torch.hub.load",Yes,,,,
