api,n,rounds_mean,rounds_std,invalid_mean,invalid_std,valid_mean,valid_std,validity_ratio_mean,validity_ratio_std
torch.add,3,13656.333,314.301,4129,96.504,9527.333,244.115,0.697629,0.004499
torch.addmm,3,5880.333,549.846,1277,277.157,4603.333,587.597,0.782017,0.047147
torch.exp,3,32485.667,2739.83,7580,398.26,24905.667,2649.71,0.765752,0.019503
torch.matmul,3,9285.667,78.831,8539,212.558,746.667,227.939,0.080365,0.024212
torch.mm,3,20428.667,2504.125,11282.333,472.615,9146.333,2053.964,0.44401,0.045513
torch.mul,3,6815,824.1,1202.667,234.12,5612.333,660.97,0.823839,0.023271
torch.relu,3,34690.667,9898.193,7455,219.725,27235.667,9986.037,0.769559,0.081973
torch.sigmoid,3,45769,3782.381,8215.333,2320.032,37553.667,6074.284,0.816905,0.066626
torch.softmax,3,43329.333,2385.935,13296,1273.143,30033.333,3394.284,0.691723,0.044319
torch.tanh,3,32079.667,2525.315,15426.667,1434.218,16653,1317.783,0.51926,0.017628
