api,run,rounds,invalid,cpu_error_count,valid,validity_ratio,statistics_status,stat_entry_count,done_entry_count
torch.add,run1,13441,4130,0,9311,0.692731,OK,1,1
torch.add,run2,13511,4032,0,9479,0.701576,OK,1,1
torch.add,run3,14017,4225,0,9792,0.69858,OK,1,1
torch.addmm,run1,5960,1597,0,4363,0.732047,OK,1,1
torch.addmm,run2,5295,1121,0,4174,0.788291,OK,1,1
torch.addmm,run3,6386,1113,0,5273,0.825712,OK,1,1
torch.exp,run1,29450,7326,0,22124,0.751239,OK,1,1
torch.exp,run2,34775,7375,0,27400,0.787922,OK,1,1
torch.exp,run3,33232,8039,0,25193,0.758095,OK,1,1
torch.matmul,run1,9203,8440,0,763,0.082908,OK,1,1
torch.matmul,run2,9360,8394,0,966,0.103205,OK,1,1
torch.matmul,run3,9294,8783,0,511,0.054982,OK,1,1
torch.mm,run1,20342,11417,0,8925,0.438747,OK,1,1
torch.mm,run2,17969,10757,0,7212,0.401358,OK,1,1
torch.mm,run3,22975,11673,0,11302,0.491926,OK,1,1
torch.mul,run1,7739,1446,0,6293,0.813154,OK,1,1
torch.mul,run2,6156,1183,0,4973,0.80783,OK,1,1
torch.mul,run3,6550,979,0,5571,0.850534,OK,1,1
torch.relu,run1,23274,7565,0,15709,0.674959,OK,1,1
torch.relu,run2,39931,7202,0,32729,0.819639,OK,1,1
torch.relu,run3,40867,7598,0,33269,0.81408,OK,1,1
torch.sigmoid,run1,45707,7726,0,37981,0.830967,OK,1,1
torch.sigmoid,run2,49582,6179,0,43403,0.875378,OK,1,1
torch.sigmoid,run3,42018,10741,0,31277,0.744371,OK,1,1
torch.softmax,run1,45345,13274,0,32071,0.707267,OK,1,1
torch.softmax,run2,43948,12034,0,31914,0.726176,OK,1,1
torch.softmax,run3,40695,14580,0,26115,0.641725,OK,1,1
torch.tanh,run1,29926,14721,0,15205,0.508087,OK,1,1
torch.tanh,run2,31454,14482,0,16972,0.539582,OK,1,1
torch.tanh,run3,34859,17077,0,17782,0.510112,OK,1,1
