api,run,fuzz_success,crash_count,unique_crash_count,covered_branches,total_branches,branch_coverage
torch.add,run_1,True,0,0,263,30094,0.87
torch.add,run_2,True,0,0,263,30094,0.87
torch.add,run_3,True,0,0,263,30094,0.87
torch.addmm,run_1,True,0,0,134,30094,0.45
torch.addmm,run_2,True,0,0,134,30094,0.45
torch.addmm,run_3,True,0,0,134,30094,0.45
torch.cat,run_1,True,0,0,355,30094,1.18
torch.cat,run_2,True,0,0,355,30094,1.18
torch.cat,run_3,True,0,0,355,30094,1.18
torch.index_select,run_1,True,0,0,329,30094,1.09
torch.index_select,run_2,True,0,0,329,30094,1.09
torch.index_select,run_3,True,0,0,329,30094,1.09
torch.matmul,run_1,True,0,0,650,30094,2.16
torch.matmul,run_2,True,0,0,650,30094,2.16
torch.matmul,run_3,True,0,0,650,30094,2.16
torch.mm,run_1,True,0,0,160,30094,0.53
torch.mm,run_2,True,0,0,160,30094,0.53
torch.mm,run_3,True,0,0,160,30094,0.53
torch.mul,run_1,True,0,0,268,30094,0.89
torch.mul,run_2,True,0,0,268,30094,0.89
torch.mul,run_3,True,0,0,268,30094,0.89
torch.relu,run_1,True,0,0,151,30094,0.5
torch.relu,run_2,True,0,0,151,30094,0.5
torch.relu,run_3,True,0,0,151,30094,0.5
torch.reshape,run_1,True,8,8,0,30094,0.0
torch.reshape,run_2,True,4,4,0,30094,0.0
torch.reshape,run_3,True,9,9,0,30094,0.0
torch.softmax,run_1,True,0,0,278,30094,0.92
torch.softmax,run_2,True,0,0,278,30094,0.92
torch.softmax,run_3,True,0,0,278,30094,0.92
