api,run,fuzz_success,covered_lines,total_lines,line_coverage,crash_count,unique_crash_count
torch.add,run_1,True,,,,0,0
torch.add,run_2,True,,,,0,0
torch.add,run_3,True,,,,0,0
torch.addmm,run_1,True,,,,0,0
torch.addmm,run_2,True,,,,0,0
torch.addmm,run_3,True,,,,0,0
torch.cat,run_1,True,,,,0,0
torch.cat,run_2,True,,,,0,0
torch.cat,run_3,True,,,,0,0
torch.index_select,run_1,True,,,,0,0
torch.index_select,run_2,True,,,,0,0
torch.index_select,run_3,True,,,,0,0
torch.matmul,run_1,True,,,,0,0
torch.matmul,run_2,True,,,,0,0
torch.matmul,run_3,True,,,,0,0
torch.mm,run_1,True,,,,0,0
torch.mm,run_2,True,,,,0,0
torch.mm,run_3,True,,,,0,0
torch.mul,run_1,True,,,,0,0
torch.mul,run_2,True,,,,0,0
torch.mul,run_3,True,,,,0,0
torch.relu,run_1,True,,,,0,0
torch.relu,run_2,True,,,,0,0
torch.relu,run_3,True,,,,0,0
torch.reshape,run_1,True,,,,8,8
torch.reshape,run_2,True,,,,4,4
torch.reshape,run_3,True,,,,9,9
torch.softmax,run_1,True,,,,0,0
torch.softmax,run_2,True,,,,0,0
torch.softmax,run_3,True,,,,0,0
